City	Year	state_id
ALBANY	1868	36
BALTIMORE	1868	24
BOSTON	1868	25
CHICAGO	1868	17
CINCINNATI	1868	39
CLEVELAND	1868	39
DETROIT	1868	26
LEAVENWORTH	1868	20
LOUISVILLE	1868	21
MILWAUKEE	1868	55
NEWORLEANS	1868	22
PHILADELPHIA	1868	42
PITTSBURG	1868	42
STLOUIS	1868	29
WASHINGTON	1868	11
SANFRANCISCO	1871	6
KANSASCITY	1887	29
OMAHA	1887	31
STJOSEPH	1887	29
BROOKLYN	1890	36
DESMOINES	1890	19
MINNEAPOLIS	1890	27
STPAUL	1890	27
LINCOLN	1893	31
SAVANNAH	1895	13
HOUSTON	1896	48
INDIANAPOLIS	1899	18
PORTLAND	1899	41
COLUMBUS	1900	39
DENVER	1900	8
LOSANGELES	1900	6
KANSASCITY	1901	20
DALLAS	1902	48
CEDARRAPIDS	1903	19
DUBUQUE	1903	19
WICHITA	1903	20
SALTLAKECITY	1903	49
FORTWORTH	1904	48
GALVESTON	1906	48
WACO	1906	48
SEATTLE	1906	53
SANANTONIO	1907	48
PUEBLO	1907	8
